
Nombre de imagen               PID Nombre de sesi¢n N£m. de ses Uso de memor Estado          Nombre de usuario                                  Tiempo de CP T°tulo de ventana                                                       
========================= ======== ================ =========== ============ =============== ================================================== ============ ========================================================================
System Idle Process              0 Services                   0         8 KB Unknown         NT AUTHORITY\SYSTEM                                   782:40:45 N/D                                                                     
System                           4 Services                   0       136 KB Unknown         N/D                                                     1:26:29 N/D                                                                     
Secure System                  188 Services                   0    66.408 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
Registry                       232 Services                   0    36.832 KB Unknown         N/D                                                     0:00:03 N/D                                                                     
smss.exe                       724 Services                   0       220 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
csrss.exe                     1036 Services                   0     2.792 KB Unknown         N/D                                                     0:00:06 N/D                                                                     
wininit.exe                   1144 Services                   0     1.496 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
services.exe                  1220 Services                   0     7.456 KB Unknown         N/D                                                     0:01:36 N/D                                                                     
LsaIso.exe                    1240 Services                   0     1.324 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
lsass.exe                     1248 Services                   0    16.516 KB Unknown         N/D                                                     0:01:02 N/D                                                                     
svchost.exe                   1456 Services                   0    33.228 KB Unknown         N/D                                                     0:01:10 N/D                                                                     
fontdrvhost.exe               1496 Services                   0       760 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
WUDFHost.exe                  1504 Services                   0     1.856 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
svchost.exe                   1644 Services                   0    15.840 KB Unknown         N/D                                                     0:03:23 N/D                                                                     
svchost.exe                   1684 Services                   0     4.968 KB Unknown         N/D                                                     0:00:09 N/D                                                                     
WUDFHost.exe                  1728 Services                   0     4.552 KB Unknown         N/D                                                     0:00:02 N/D                                                                     
svchost.exe                   1988 Services                   0     2.696 KB Unknown         N/D                                                     0:00:01 N/D                                                                     
svchost.exe                   1992 Services                   0     2.508 KB Unknown         N/D                                                     0:00:01 N/D                                                                     
svchost.exe                   2020 Services                   0     1.324 KB Unknown         N/D                                                     0:00:02 N/D                                                                     
svchost.exe                   2028 Services                   0     3.476 KB Unknown         N/D                                                     0:00:02 N/D                                                                     
svchost.exe                   2072 Services                   0     5.624 KB Unknown         N/D                                                     0:01:09 N/D                                                                     
svchost.exe                   2120 Services                   0    10.240 KB Unknown         N/D                                                     0:00:14 N/D                                                                     
svchost.exe                   2128 Services                   0     4.360 KB Unknown         N/D                                                     0:00:13 N/D                                                                     
svchost.exe                   2176 Services                   0     5.808 KB Unknown         N/D                                                     0:00:01 N/D                                                                     
svchost.exe                   2192 Services                   0     5.788 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
svchost.exe                   2200 Services                   0     5.936 KB Unknown         N/D                                                     0:00:01 N/D                                                                     
